ISBN	douban_id	5star	4star	3star	2star	1star	short_comment	long_comment	note	reading	collectiongs	wishes	url_pic	title	score	users
9787536557413	19980218	63.6%	27.3%	0.0%	9.1%	0.0%	4	0	0.0	3.0	13.0	18.0	https://img1.doubanio.com/lpic/s22791889.jpg	米小圈上学记	7.6	11
9787108025753	1937939	32.1%	51.0%	16.3%	0.5%	0.0%	508	32	0.0	441.0	5118.0	3061.0	https://img3.doubanio.com/lpic/s1945080.jpg	河童杂记本	8.3	3510
9787533243715	1042748	68.8%	23.2%	8.0%	0.0%	0.0%	19	2	0.0	7.0	152.0	162.0	https://img3.doubanio.com/lpic/s1347004.jpg	看不见的小妞	9.2	112
9787539139333	2343031	31.1%	50.8%	16.4%	1.6%	0.0%	13	2	0.0	2.0	86.0	58.0	https://img1.doubanio.com/lpic/s8454859.jpg	小泰的小猫	8.2	61
9787544281751	26748995	17.6%	64.7%	17.6%	0.0%	0.0%	8	0	0.0	1.0	21.0	34.0	https://img3.doubanio.com/lpic/s28526950.jpg	巴黎闲逛，走进老房子	9.5	17
9787533251512	1824714	73.1%	20.0%	6.1%	0.2%	0.6%	297	26	0.0	131.0	546.0	2075.0	https://img5.doubanio.com/lpic/s11120876.jpg	拥抱幸福的小熊-阳光姐姐嘉年华	9.1	525
9787539456089	20255040	0.0%	50.0%	50.0%	0.0%	0.0%	5	0	0.0	2.0	13.0	9.0	https://img3.doubanio.com/lpic/s23117844.jpg	大树上的朋友	7.5	12
9780807219652	1775646	55.6%	38.9%	5.6%	0.0%	0.0%	10	0	0.0	3.0	42.0	83.0	https://img1.doubanio.com/lpic/s4098889.jpg	The Cat in the Hat and Other Dr. Seuss Favorites	8.9	36
9787536534636	1318207	73.2%	22.5%	4.2%	0.0%	0.0%	8	0	0.0	4.0	103.0	49.0	https://img1.doubanio.com/lpic/s1460348.jpg	神奇校车 奇妙的蜂巢	9.3	71
9787530741276	2588092	60.6%	18.2%	21.2%	0.0%	0.0%	12	0	0.0	4.0	48.0	39.0	https://img3.doubanio.com/lpic/s2886834.jpg	企鹅的故事	8.8	33
9787513300698	5383175	49.4%	39.8%	9.7%	0.7%	0.4%	517	40	0.0	360.0	1930.0	9493.0	https://img5.doubanio.com/lpic/s4557646.jpg	童年与故乡	8.7	1562
9787539772202	25866074	1	0	0	0	3	8	https://img1.doubanio.com/lpic/s27280337.jpg						小书房之玻璃孔雀	7.3	10
9787544246972	4773573	52.7%	38.4%	8.9%	0.0%	0.0%	43	3	0.0	8.0	181.0	108.0	https://img1.doubanio.com/lpic/s4397129.jpg	味儿	8.8	146
9787541460739	25731648	41.7%	20.8%	29.2%	4.2%	4.2%	6	0	0.0	6.0	25.0	36.0	https://img1.doubanio.com/lpic/s27172618.jpg	地下121天	9.1	24
9787556801343	25985355	3	0	0	0	7	6	https://img3.doubanio.com/lpic/s28042644.jpg						蟋蟀的骑鸽之旅	9.2	10
9787539715230	1711689	24.8%	44.2%	30.1%	0.8%	0.0%	34	0	0.0	2.0	516.0	18.0	https://img3.doubanio.com/lpic/s1653175.jpg	告别裔凡 表哥驾到	7.9	355
9787801737144	2365261	53.3%	32.9%	12.1%	1.6%	0.1%	174	32	0.0	24.0	863.0	947.0	https://img1.doubanio.com/lpic/s2833397.jpg	一年甲班34号	8.7	696
9787511715227	20491175	42.3%	46.2%	11.5%	0.0%	0.0%	6	14	0.0	10.0	33.0	190.0	https://img3.doubanio.com/lpic/s24580210.jpg	如何培养孩子的社交商	8.6	26
9787541755132	26695293	3	4	0	0	5	39	https://img1.doubanio.com/lpic/s28370088.jpg						宝宝心理成长绘本第3辑	7.9	10
9787040220636	3649478	59.4%	34.4%	6.3%	0.0%	0.0%	12	0	0.0	18.0	38.0	53.0	https://img3.doubanio.com/lpic/s3709062.jpg	儿童文学概论	8.7	32
9787538549744	5254259	42.9%	40.8%	15.0%	1.0%	0.3%	541	18	0.0	79.0	2579.0	1057.0	https://img3.doubanio.com/lpic/s4473984.jpg	卯个人	8.5	2133
9787549573110	26646201	26.4%	40.0%	27.9%	3.4%	2.3%	259	7	0.0	51.0	631.0	766.0	https://img3.doubanio.com/lpic/s28909494.jpg	葡萄柚	8.7	530
9787801956491	2203517	34.1%	40.9%	22.7%	0.0%	2.3%	8	0	0.0	4.0	57.0	24.0	https://img3.doubanio.com/lpic/s5766791.jpg	上帝的笑	8.1	44
9787505632974	26938573	0	1	0	1	8	7	https://img3.doubanio.com/lpic/s29232152.jpg						抛向远方的锚	8.5	10
9787543473218	3898381	39.4%	43.3%	17.3%	0.0%	0.0%	32	0	0.0	3.0	138.0	110.0	https://img3.doubanio.com/lpic/s3913505.jpg	下雪了	8.5	104
9787201108919	26902186	93.8%	4.2%	2.1%	0.0%	0.0%	33	4	0.0	8.0	40.0	29.0	https://img3.doubanio.com/lpic/s29120103.jpg	遇见孩子就是遇见更好的自己	9.8	48
